,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut
7,Delaware
8,Georgia
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Louisiana
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,North Carolina
25,Oklahoma
26,Rhode Island
27,South Carolina
28,Tennessee
29,Utah
30,Vermont
31,Virginia
32,West Virginia
33,Wisconsin
34,Wyoming
